,time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),date
0,00:00:00,12.7,93,0.0,0.0,0.0,2022-01-01
1,01:00:00,12.8,93,0.0,0.0,0.0,2022-01-01
2,02:00:00,12.5,93,0.0,0.0,0.0,2022-01-01
3,03:00:00,12.2,92,0.0,0.0,0.0,2022-01-01
4,04:00:00,11.9,93,0.0,0.0,0.0,2022-01-01
5,05:00:00,11.8,92,0.0,0.0,0.0,2022-01-01
6,06:00:00,11.7,91,0.0,0.0,0.0,2022-01-01
7,07:00:00,12.2,88,0.0,0.0,0.0,2022-01-01
8,08:00:00,12.3,84,0.0,0.0,0.0,2022-01-01
9,09:00:00,12.4,81,0.0,0.0,0.0,2022-01-01
10,10:00:00,13.3,74,0.0,0.0,0.0,2022-01-01
11,11:00:00,14.1,71,0.0,0.0,0.0,2022-01-01
12,12:00:00,14.8,76,0.0,0.0,0.0,2022-01-01
13,13:00:00,14.9,77,0.0,0.0,0.0,2022-01-01
14,14:00:00,14.3,80,0.2,0.2,0.0,2022-01-01
15,15:00:00,13.7,81,0.0,0.0,0.0,2022-01-01
16,16:00:00,13.0,84,0.0,0.0,0.0,2022-01-01
17,17:00:00,13.1,83,0.0,0.0,0.0,2022-01-01
18,18:00:00,13.0,87,0.0,0.0,0.0,2022-01-01
19,19:00:00,13.1,87,0.0,0.0,0.0,2022-01-01
20,20:00:00,12.8,89,0.0,0.0,0.0,2022-01-01
21,21:00:00,12.9,90,0.0,0.0,0.0,2022-01-01
22,22:00:00,13.0,90,0.0,0.0,0.0,2022-01-01
23,23:00:00,13.1,89,0.0,0.0,0.0,2022-01-01
24,00:00:00,12.6,94,0.0,0.0,0.0,2022-01-02
25,01:00:00,12.5,94,0.0,0.0,0.0,2022-01-02
26,02:00:00,12.4,93,0.0,0.0,0.0,2022-01-02
27,03:00:00,12.3,92,0.0,0.0,0.0,2022-01-02
28,04:00:00,12.2,93,0.0,0.0,0.0,2022-01-02
29,05:00:00,12.3,88,0.1,0.1,0.0,2022-01-02
30,06:00:00,12.0,86,0.0,0.0,0.0,2022-01-02
31,07:00:00,11.4,88,0.0,0.0,0.0,2022-01-02
32,08:00:00,10.7,89,0.0,0.0,0.0,2022-01-02
33,09:00:00,10.4,88,0.0,0.0,0.0,2022-01-02
34,10:00:00,11.0,85,0.0,0.0,0.0,2022-01-02
35,11:00:00,11.6,85,0.0,0.0,0.0,2022-01-02
36,12:00:00,11.5,82,0.0,0.0,0.0,2022-01-02
37,13:00:00,12.1,81,0.0,0.0,0.0,2022-01-02
38,14:00:00,11.2,82,1.0,1.0,0.0,2022-01-02
39,15:00:00,10.5,85,0.6,0.6,0.0,2022-01-02
40,16:00:00,10.7,87,0.1,0.1,0.0,2022-01-02
41,17:00:00,10.1,89,0.2,0.2,0.0,2022-01-02
42,18:00:00,9.8,87,0.0,0.0,0.0,2022-01-02
